Distribution;Founder;Maintainer;Initial release year;Current stable version;Security updates (years);Release date;System distribution commitment;Forked from;Target audience;Cost;Status;
Pentoo;Michael Zanetta, Rick Farina, Jens Pranaitis;Pentoo;{{date|2005|iso}};2015.0 RC4.6;{{dunno}};{{date|2015-12-02|iso}};{{Proprietary|X}};Gentoo Linux;auditing, security;{{free|Gratis}};{{site active}};
Porteus;Fanthom;Porteus;{{date|2010|iso}};3.2.2;{{dunno}};{{date|2016-12-29|iso}};{{Proprietary|X}};Slackware;lightweight, portable;{{free|Gratis}};{{site active}};
Puppy Linux;Barry Kauler;Puppy Foundation;{{date|2003|iso}};6.3.2;{{dunno}};{{date|2016-06-22|iso}};{{Proprietary|X}};–;lightweight, portable;{{Free|Gratis}};{{site active}};
Qubes OS;Joanna Rutkowska;Invisible Things Lab;{{date|2012|iso}};4.0;{{dunno}};{{date|2018-03-28|iso}}[30];{{Proprietary|X}};Xen and Fedora;security by compartmentalization, desktop;{{Free|Gratis}};{{site active}};
Red Hat Enterprise Linux (RHEL);Red Hat;Red Hat;{{date|2002|iso}};7.6;10 years;2018-10-30[31];{{Proprietary|X}};Red Hat Linux, Fedora;server, workstation;{{no|Commercial}}[32][33];{{site active}};
Red Hat Linux;Red Hat;Red Hat;{{date|1995|iso}};9;{{dunno}};2003-03-31;{{Proprietary|X}};–;server, workstation;{{Free|Gratis}};{{site inactive}};
Rocks Cluster Distribution;UCSD Supercomputing Center, Clustercorp;UCSD Supercomputing Center, Clustercorp;{{date|2000|iso}};7.0;{{dunno}};2015-12-01;{{Proprietary|X}};Red Hat Linux;server, workstation;{{free|Gratis}};{{site active}};
Sabayon Linux;Fabio Erculiani;dev team;{{date|2005|iso}};17.12;{{dunno}};2017-11-29[34];{{Proprietary|X}};Gentoo Linux;general;{{free|Gratis}};{{site active}};
Salix OS;Cyrille Pontvieux, George Vlahavas, Pierrick Le Brun, Thorsten Mühlfelder;Salix team;{{date|2009|iso}};14.2;{{dunno}};{{date|2016-08-29|iso}};{{Proprietary|X}};Slackware;general;{{free|Gratis}};{{dunno}};
Scientific Linux;CERN, Fermilab;dev team;{{date|2004|iso}};7.4;{{dunno}};2017-10-02;{{Proprietary|X}};Red Hat Linux, Red Hat Enterprise Linux (RHEL);server, workstation;{{free|Gratis}};{{site active}};
Slackware;Patrick Volkerding;dev team;{{date|1993|iso}};14.2[35];{{dunno}};2016-06-30;{{Proprietary|X}};Softlanding Linux System (SLS);general;{{free|Gratis}};{{site active}};
Slax;Tomas Matejicek;Tomas Matejicek;{{date|2002|iso}};9.3.0;{{dunno}};2017-12-24[36];{{Proprietary|X}};Debian, Slackware (until Slax 9);live;{{free|Gratis}};{{site active}};
